Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,ILA,ILA5,,
brain,grey,BS,MB,MBsen,IC,ICe,,,
brain,grey,BS,IB,HY,PVR,DMH,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId6b,
brain,fiber tracts,cm,IIIn,,,,,,
brain,grey,BS,MB,MBsen,SCs,SCzo,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ECT,ECT1,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n2/3
brain,grey,BS,HB,MY,MY-mot,DMX,,,
brain,fiber tracts,cm,VIIIn,cVIIIn,tb,,,,
brain,grey,BS,MB,MBsen,SCs,SCsg,,,
brain,grey,CH,CTX,CTXpl,HPF,RHP,PAR,,
brain,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp6a,
brain,grey,CB,CBN,DN,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp5,
brain,fiber tracts,cm,IIn,,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VISC,VISC6b,,
brain,fiber tracts,cbf,cbp,scp,uf,,,,
brain,grey,BS,MB,MBsen,SCs,SCop,,,
brain,grey,BS,HB,MY,MY-mot,PARN,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul2/3
brain,grey,CH,CTX,CTXpl,Isocortex,VISC,VISC6a,,
brain,grey,BS,HB,MY,MY-mot,PAS,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs6a,
brain,fiber tracts,eps,rust,,,,,,
brain,fiber tracts,cbf,cbp,scp,sctv,,,,
brain,grey,BS,HB,P,P-sen,PB,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl4,
brain,grey,BS,MB,MBsta,RAmb,DR,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs1,
brain,grey,BS,MB,MBsen,PBG,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m1
brain,grey,BS,HB,P,P-mot,DTN,,,
brain,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp6b,
brain,fiber tracts,mfbs,mfbc,amc,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI2/3,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n6a
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs6b,
brain,grey,CH,CTX,CTXpl,Isocortex,VISC,VISC1,,
brain,grey,BS,HB,P,P-mot,PCG,,,
brain,fiber tracts,cm,In,aco,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl5,
brain,grey,BS,HB,MY,MY-sen,ECU,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl6a,
brain,grey,BS,IB,TH,DORpm,ILM,PCN,,
brain,fiber tracts,mfbs,mfbc,act,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm6a,
brain,fiber tracts,cm,IVn,,,,,,
brain,grey,CB,CBX,VERM,LING,,,,
brain,grey,BS,IB,HY,PVR,PD,,,
brain,fiber tracts,cm,IIn,bsc,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd6a,
brain,fiber tracts,lfbs,cst,cpd,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd6b,
