Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
grey,BS,MB,MBsen,PBG,,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m1
grey,BS,HB,P,P-mot,DTN,,,
grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp6b,
fiber tracts,mfbs,mfbc,amc,,,,,
grey,CH,CTX,CTXpl,Isocortex,PERI,PERI2/3,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n6a
grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs6b,
grey,CH,CTX,CTXpl,Isocortex,VISC,VISC1,,
grey,BS,HB,P,P-mot,PCG,,,
fiber tracts,cm,In,aco,,,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl5,
grey,BS,HB,MY,MY-sen,ECU,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal2/3,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl6a,
grey,BS,IB,TH,DORpm,ILM,PCN,,
fiber tracts,mfbs,mfbc,act,,,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm6a,
fiber tracts,cm,IVn,,,,,,
grey,CB,CBX,VERM,LING,,,,
grey,BS,IB,HY,PVR,PD,,,
fiber tracts,cm,IIn,bsc,,,,,
grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd6a,
fiber tracts,lfbs,cst,cpd,,,,,
grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd6b,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n6b
grey,BS,IB,TH,DORpm,ILM,PF,,
grey,BS,HB,P,P-mot,PG,,,
grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd1,
grey,CB,CBX,VERM,DEC,,,,
grey,BS,HB,MY,MY-mot,AMB,AMBd,,
fiber tracts,mfbs,mfbc,cing,,,,,
